side,n,seed,family,algo,rounds_eps3,conv_eps3,rounds_eps6,conv_eps6,maxr,alpha,secs,max_deg,edges,cost3_load,cost6_load,note
15,225,32,curved,heat,80,1,186,1,40000,0.5,0.042,58,420,4640,10788,
15,225,32,curved,pushsum,63,1,143,1,40000,0.5,0.031,58,420,3654,8294,
15,225,32,curved,gossip,661,1,1540,1,40000,0.5,0.145,58,420,38338,89320,
15,225,32,localrand,heat,795,1,2122,1,40000,0.5,0.256,8,420,6360,16976,
15,225,32,localrand,pushsum,555,1,1443,1,40000,0.5,0.09,8,420,4440,11544,
15,225,32,localrand,gossip,761,1,1987,1,40000,0.5,0.149,8,420,6088,15896,
15,225,36,flat,heat,702,1,1839,1,40000,0.5,0.122,4,420,2808,7356,
15,225,36,flat,pushsum,439,1,1164,1,40000,0.5,0.038,4,420,1756,4656,
15,225,36,flat,gossip,458,1,1219,1,40000,0.5,0.04,4,420,1832,4876,
15,225,36,curved,heat,63,1,163,1,40000,0.5,0.023,101,420,6363,16463,
15,225,36,curved,pushsum,59,1,139,1,40000,0.5,0.023,101,420,5959,14039,
15,225,36,curved,gossip,1172,1,3287,1,40000,0.5,0.17,101,420,118372,331987,
15,225,36,localrand,heat,753,1,2247,1,40000,0.5,0.296,9,420,6777,20223,
15,225,36,localrand,pushsum,601,1,1561,1,40000,0.5,0.143,9,420,5409,14049,
15,225,36,localrand,gossip,772,1,2019,1,40000,0.5,0.137,9,420,6948,18171,
15,225,35,flat,heat,744,1,1882,1,40000,0.5,0.347,4,420,2976,7528,
15,225,35,flat,pushsum,482,1,1207,1,40000,0.5,0.147,4,420,1928,4828,
15,225,35,flat,gossip,504,1,1266,1,40000,0.5,0.15,4,420,2016,5064,
15,225,35,curved,heat,67,1,165,1,40000,0.5,0.044,118,421,7906,19470,
15,225,35,curved,pushsum,62,1,144,1,40000,0.5,0.025,118,421,7316,16992,
15,225,35,curved,gossip,1624,1,4113,1,40000,0.5,0.525,118,421,191632,485334,
15,225,35,localrand,heat,1054,1,2787,1,40000,0.5,0.222,9,420,9486,25083,
15,225,35,localrand,pushsum,662,1,1828,1,40000,0.5,0.068,9,420,5958,16452,
