gen,nodes,steps,result
1,14,3,1
2,33,13,0
3,53,24,0
4,74,23,1
5,104,34,1
6,144,48,0
7,187,66,0
8,225,57,1
9,278,75,1
10,341,95,0
11,407,120,0
12,462,104,1
13,538,129,1
14,624,155,0
15,713,187,0
16,785,164,1
17,884,196,1
